"n","k","seconds","repetitions","iterations","best_value"
1000,100,0.000800000000000089,5,3,0.65964202229598
10000,100,0.000999999999999979,5,3,0.941632781709141
100000,100,0.00619999999999994,5,2,0.990663153287991
1000000,100,0.0618,5,2,0.999486227397272
