"rep","alpha","oracle_set","estimated_set","exact_recovery","oracle_value","estimated_value","separation_gap","iterations"
9,0,"4;5;6;15","4;5;6;15",TRUE,-1.66689568431487,-1.66689568431487,0.083358747775236,2
9,1e-08,"4;5;6;15","4;5;6;15",TRUE,-1.66689568431487,-1.66689567518982,0.083358747775236,2
9,1e-06,"4;5;6;15","4;5;6;15",TRUE,-1.66689568431487,-1.66689477180763,0.083358747775236,2
9,1e-04,"4;5;6;15","4;5;6;15",TRUE,-1.66689568431487,-1.66680441400652,0.083358747775236,2
9,0.001,"4;5;6;15","4;5;6;15",TRUE,-1.66689568431487,-1.66598120326712,0.083358747775236,2
9,0.01,"4;5;6;15","4;5;6;15",TRUE,-1.66689568431487,-1.65757549273272,0.083358747775236,2
10,0,"12;17;18;19","12;17;18;19",TRUE,0.28079290686828,0.28079290686828,0.000221963743473164,3
10,1e-08,"12;17;18;19","12;17;18;19",TRUE,0.28079290686828,0.280792907911821,0.000221963743473164,3
10,1e-06,"12;17;18;19","12;17;18;19",TRUE,0.28079290686828,0.280793011221968,0.000221963743473164,3
10,1e-04,"12;17;18;19","12;17;18;19",TRUE,0.28079290686828,0.280803338791128,0.000221963743473164,3
10,0.001,"12;17;18;19","12;17;18;19",TRUE,0.28079290686828,0.280896912596249,0.000221963743473164,3
10,0.01,"12;17;18;19","12;17;18;19",TRUE,0.28079290686828,0.281801384143936,0.000221963743473164,3
11,0,"6;8;15;16","6;8;15;16",TRUE,-0.0426077217224182,-0.0426077217224182,0.0461687391661998,3
11,1e-08,"6;8;15;16","6;8;15;16",TRUE,-0.0426077217224182,-0.0426077341523399,0.0461687391661998,3
11,1e-06,"6;8;15;16","6;8;15;16",TRUE,-0.0426077217224182,-0.042608964714523,0.0461687391661998,3
11,1e-04,"6;8;15;16","6;8;15;16",TRUE,-0.0426077217224182,-0.0427320203711207,0.0461687391661998,3
11,0.001,"6;8;15;16","6;8;15;16",TRUE,-0.0426077217224182,-0.0438506555231379,0.0461687391661998,3
11,0.01,"6;8;15;16","6;8;15;16",TRUE,-0.0426077217224182,-0.0550301906174012,0.0461687391661998,3
12,0,"2;9;14;19","2;9;14;19",TRUE,-0.411182791020934,-0.411182791020934,0.0836427027497719,2
12,1e-08,"2;9;14;19","2;9;14;19",TRUE,-0.411182791020934,-0.411182798002881,0.0836427027497719,2
12,1e-06,"2;9;14;19","2;9;14;19",TRUE,-0.411182791020934,-0.411183489216221,0.0836427027497719,2
12,1e-04,"2;9;14;19","2;9;14;19",TRUE,-0.411182791020934,-0.411252615236972,0.0836427027497719,2
12,0.001,"2;9;14;19","2;9;14;19",TRUE,-0.411182791020934,-0.411881459067157,0.0836427027497719,2
12,0.01,"2;9;14;19","2;9;14;19",TRUE,-0.411182791020934,-0.418211823960735,0.0836427027497719,2
13,0,"2;9;17;19","2;9;17;19",TRUE,-0.302692904587874,-0.302692904587874,0.000739684140924179,3
13,1e-08,"2;9;17;19","2;9;17;19",TRUE,-0.302692904587874,-0.302692894813049,0.000739684140924179,3
13,1e-06,"2;9;17;19","2;9;17;19",TRUE,-0.302692904587874,-0.30269192710382,0.000739684140924179,3
13,1e-04,"2;9;17;19","2;9;17;19",TRUE,-0.302692904587874,-0.302595141492944,0.000739684140924179,3
13,0.001,"2;9;17;19","2;9;10;17",FALSE,-0.302692904587874,-0.301834910409669,0.000739684140924179,4
13,0.01,"2;9;17;19","2;9;10;17",FALSE,-0.302692904587874,-0.300714701851215,0.000739684140924179,3
14,0,"7;10;12;19","7;10;12;19",TRUE,0.802574085334925,0.802574085334925,0.0623029566792461,3
14,1e-08,"7;10;12;19","7;10;12;19",TRUE,0.802574085334925,0.802574081726522,0.0623029566792461,3
14,1e-06,"7;10;12;19","7;10;12;19",TRUE,0.802574085334925,0.802573724493812,0.0623029566792461,3
14,1e-04,"7;10;12;19","7;10;12;19",TRUE,0.802574085334925,0.802537994199042,0.0623029566792461,3
14,0.001,"7;10;12;19","7;10;12;19",TRUE,0.802574085334925,0.802212535963474,0.0623029566792461,3
14,0.01,"7;10;12;19","7;10;12;19",TRUE,0.802574085334925,0.79889536767427,0.0623029566792461,3
15,0,"4;7;10;12","4;7;10;12",TRUE,-1.33312002689844,-1.33312002689844,0.0318720564168364,2
15,1e-08,"4;7;10;12","4;7;10;12",TRUE,-1.33312002689844,-1.33312002130677,0.0318720564168364,2
15,1e-06,"4;7;10;12","4;7;10;12",TRUE,-1.33312002689844,-1.33311946772851,0.0318720564168364,2
15,1e-04,"4;7;10;12","4;7;10;12",TRUE,-1.33312002689844,-1.33306408041168,0.0318720564168364,2
15,0.001,"4;7;10;12","4;7;10;12",TRUE,-1.33312002689844,-1.3325578818905,0.0318720564168364,2
15,0.01,"4;7;10;12","4;7;10;12",TRUE,-1.33312002689844,-1.32723169050772,0.0318720564168364,2
16,0,"1;6;14;15","1;6;14;15",TRUE,0.469726774380093,0.469726774380093,0.0217166316715258,3
16,1e-08,"1;6;14;15","1;6;14;15",TRUE,0.469726774380093,0.469726771666136,0.0217166316715258,3
16,1e-06,"1;6;14;15","1;6;14;15",TRUE,0.469726774380093,0.469726502983395,0.0217166316715258,3
16,1e-04,"1;6;14;15","1;6;14;15",TRUE,0.469726774380093,0.469699624499239,0.0217166316715258,3
16,0.001,"1;6;14;15","1;6;14;15",TRUE,0.469726774380093,0.469454347570572,0.0217166316715258,3
16,0.01,"1;6;14;15","1;6;14;15",TRUE,0.469726774380093,0.466909991866579,0.0217166316715258,3
17,0,"11;16;17;18","11;16;17;18",TRUE,-1.49454472943615,-1.49454472943615,0.138723916455107,3
17,1e-08,"11;16;17;18","11;16;17;18",TRUE,-1.49454472943615,-1.49454474824342,0.138723916455107,3
17,1e-06,"11;16;17;18","11;16;17;18",TRUE,-1.49454472943615,-1.49454661015805,0.138723916455107,3
17,1e-04,"11;16;17;18","11;16;17;18",TRUE,-1.49454472943615,-1.49473274675,0.138723916455107,3
17,0.001,"11;16;17;18","11;16;17;18",TRUE,-1.49454472943615,-1.49641990294119,0.138723916455107,3
17,0.01,"11;16;17;18","11;16;17;18",TRUE,-1.49454472943615,-1.51278582893783,0.138723916455107,3
18,0,"4;9;15;16","4;9;15;16",TRUE,-0.390691389572322,-0.390691389572322,0.00214544046659015,4
18,1e-08,"4;9;15;16","4;9;15;16",TRUE,-0.390691389572322,-0.390691380189388,0.00214544046659015,4
18,1e-06,"4;9;15;16","4;9;15;16",TRUE,-0.390691389572322,-0.390690451276708,0.00214544046659015,4
18,1e-04,"4;9;15;16","4;9;15;16",TRUE,-0.390691389572322,-0.390597538989319,0.00214544046659015,4
18,0.001,"4;9;15;16","4;9;15;16",TRUE,-0.390691389572322,-0.389750974399845,0.00214544046659015,4
18,0.01,"4;9;15;16","4;9;15;16",TRUE,-0.390691389572322,-0.381098082937581,0.00214544046659015,4
19,0,"1;7;14;18","1;7;14;18",TRUE,-2.41816124189019,-2.41816124189019,0.0892630415692981,3
19,1e-08,"1;7;14;18","1;7;14;18",TRUE,-2.41816124189019,-2.41816120939814,0.0892630415692981,3
19,1e-06,"1;7;14;18","1;7;14;18",TRUE,-2.41816124189019,-2.41815799267744,0.0892630415692981,3
